Date,seasonal
1981-01,3.5915402294559113
1981-02,3.9764986782908895
1981-03,3.539431010021423
1981-04,0.9127757929764206
1981-05,-1.246872753419438
1981-06,-3.8866616821330973
1981-07,-4.5597531020529365
1981-08,-3.221258776347128
1981-09,-2.160356425263324
1981-10,-0.9324437410737578
1981-11,1.3271117149198701
1981-12,2.659989054625166
1982-01,3.5915402294559113
1982-02,3.9764986782908895
1982-03,3.539431010021423
1982-04,0.9127757929764206
1982-05,-1.246872753419438
1982-06,-3.8866616821330973
1982-07,-4.5597531020529365
1982-08,-3.221258776347128
1982-09,-2.160356425263324
1982-10,-0.9324437410737578
1982-11,1.3271117149198701
1982-12,2.659989054625166
1983-01,3.5915402294559113
1983-02,3.9764986782908895
1983-03,3.539431010021423
1983-04,0.9127757929764206
1983-05,-1.246872753419438
1983-06,-3.8866616821330973
1983-07,-4.5597531020529365
1983-08,-3.221258776347128
1983-09,-2.160356425263324
1983-10,-0.9324437410737578
1983-11,1.3271117149198701
1983-12,2.659989054625166
1984-01,3.5915402294559113
1984-02,3.9764986782908895
1984-03,3.539431010021423
1984-04,0.9127757929764206
1984-05,-1.246872753419438
1984-06,-3.8866616821330973
1984-07,-4.5597531020529365
1984-08,-3.221258776347128
1984-09,-2.160356425263324
1984-10,-0.9324437410737578
1984-11,1.3271117149198701
1984-12,2.659989054625166
1985-01,3.5915402294559113
1985-02,3.9764986782908895
1985-03,3.539431010021423
1985-04,0.9127757929764206
1985-05,-1.246872753419438
1985-06,-3.8866616821330973
1985-07,-4.5597531020529365
1985-08,-3.221258776347128
1985-09,-2.160356425263324
1985-10,-0.9324437410737578
1985-11,1.3271117149198701
1985-12,2.659989054625166
1986-01,3.5915402294559113
1986-02,3.9764986782908895
1986-03,3.539431010021423
1986-04,0.9127757929764206
1986-05,-1.246872753419438
1986-06,-3.8866616821330973
1986-07,-4.5597531020529365
1986-08,-3.221258776347128
1986-09,-2.160356425263324
1986-10,-0.9324437410737578
1986-11,1.3271117149198701
1986-12,2.659989054625166
1987-01,3.5915402294559113
1987-02,3.9764986782908895
1987-03,3.539431010021423
1987-04,0.9127757929764206
1987-05,-1.246872753419438
1987-06,-3.8866616821330973
1987-07,-4.5597531020529365
1987-08,-3.221258776347128
1987-09,-2.160356425263324
1987-10,-0.9324437410737578
1987-11,1.3271117149198701
1987-12,2.659989054625166
1988-01,3.5915402294559113
1988-02,3.9764986782908895
1988-03,3.539431010021423
1988-04,0.9127757929764206
1988-05,-1.246872753419438
1988-06,-3.8866616821330973
1988-07,-4.5597531020529365
1988-08,-3.221258776347128
1988-09,-2.160356425263324
1988-10,-0.9324437410737578
1988-11,1.3271117149198701
1988-12,2.659989054625166
1989-01,3.5915402294559113
1989-02,3.9764986782908895
1989-03,3.539431010021423
1989-04,0.9127757929764206
1989-05,-1.246872753419438
1989-06,-3.8866616821330973
1989-07,-4.5597531020529365
1989-08,-3.221258776347128
1989-09,-2.160356425263324
1989-10,-0.9324437410737578
1989-11,1.3271117149198701
1989-12,2.659989054625166
1990-01,3.5915402294559113
1990-02,3.9764986782908895
1990-03,3.539431010021423
1990-04,0.9127757929764206
1990-05,-1.246872753419438
1990-06,-3.8866616821330973
1990-07,-4.5597531020529365
1990-08,-3.221258776347128
1990-09,-2.160356425263324
1990-10,-0.9324437410737578
1990-11,1.3271117149198701
1990-12,2.659989054625166
